Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2020-01-02,95.36820983886719,95.3775433599567,94.26708929019513,94.58436493272299,5644100
2020-01-03,95.10693359375,95.18158752791594,93.6045569857679,93.86583863595764,4541800
2020-01-06,95.02294921875,95.03227562058109,94.12712340500566,94.20177021660798,4612400
2020-01-07,94.97627258300781,95.87209824443295,94.07111340194787,95.00426602252274,6719900
2020-01-08,94.76165008544922,95.31220670625397,94.10843898893734,94.53768833381632,4942200
2020-01-09,94.69633483886719,95.56416709533072,94.61234739758889,95.12558420709573,5007500
2020-01-10,94.15510559082031,95.11625169940822,94.02446478689903,95.07892473837502,5135300
2020-01-13,95.33089447021484,95.49885514137013,94.0804660029505,94.24843379349673,6722400
2020-01-14,96.0400619506836,96.94522109357092,95.5081652641628,95.60147909840713,5088500
2020-01-15,95.91875457763672,96.76791972357664,95.62947955596553,96.34800391022239,4209200
2020-01-16,96.46000671386719,96.64663442459182,95.97476327495782,96.00275671962744,6571700
2020-01-17,97.54243469238281,97.56110173019853,96.43198088218307,96.51596831357588,6271200
2020-01-21,97.58911895751953,97.69176633236219,96.8705873336209,97.28117683299155,4854700
2020-01-22,97.50511932373047,98.55958638457471,97.43979892239064,97.98102917314345,5031400
2020-01-23,96.13337707519531,97.39313877226402,95.7601217332083,97.0758631883079,7102900
2020-01-24,95.2095718383789,96.94523648455578,94.86430988492232,96.66528781798907,3839300
2020-01-27,93.53922271728516,93.97780561630411,91.45829622624157,91.64492391462029,9841400
2020-01-28,93.6978530883789,94.2950701643759,92.86734075020057,93.63252557378352,5673200
2020-01-29,93.16598510742188,94.5283946501921,92.54077435301933,94.31376634377457,4503700
2020-01-30,91.62625885009766,93.08197467202694,90.86107397967461,92.40077012084312,7065100
2020-01-31,89.86261749267578,91.86889031727291,89.5080148722462,91.55162178256317,8780300
2020-02-03,92.63407897949219,94.17378258413842,91.98087484146828,92.38213084608044,9727000
2020-02-04,94.60303497314453,95.90945040916105,94.49106118565744,95.09761197231418,6559600
2020-02-05,93.81918334960938,95.15359213814723,92.87669702834786,94.95763090450905,6108300
2020-02-06,93.56720733642578,94.7429815966433,93.4645671010681,94.15509802622918,5641800
2020-02-07,92.79270935058594,93.68853511320887,92.3541264302685,93.1379713027922,4121800
2020-02-10,93.33392333984375,93.79117325656075,92.38211078549433,92.58740550411999,4213900
2020-02-11,93.33392333984375,93.64186541778224,92.79270022274564,93.38058381930944,4871800
2020-02-12,96.11470794677734,96.18936185577762,93.72583981387733,94.00578129354545,8075600
2020-02-13,96.46000671386719,96.80526869064686,94.88297621649798,95.65749474284777,5386800
2020-02-14,96.61862182617188,96.94522381488957,95.60148178200603,96.60928830666869,4305300
2020-02-18,95.18157196044922,96.46932007693377,94.81764299015163,96.11472462672813,4916200
2020-02-19,95.61082458496094,96.47865687889659,95.5828311431227,95.7974593961993,6200500
2020-02-20,95.67616271972656,95.7694765829436,93.82852402209846,95.6108423035355,6427600
2020-02-21,93.54854583740234,95.25621676184075,92.9699886767246,95.18156284703281,5750900
2020-02-24,89.49867248535156,90.58112583799665,88.88278833000984,89.15340344801852,8364200
2020-02-25,86.68988037109375,90.29185007666487,86.42859877494075,89.90925408273401,9602100
2020-02-26,85.85005950927734,88.32291590815105,85.84072598764033,86.85786626434445,9308400
2020-02-27,82.63068389892578,86.8391979320922,82.58402341082432,83.98375262117727,12825700
2020-02-28,83.63658905029297,83.72080951411085,79.67840572941408,80.50185584030218,16552400
2020-03-02,86.72454833984375,87.15498870137021,82.26106319644326,83.84246194790842,14102000
2020-03-03,85.08699035644531,88.87674697639416,84.75012278404353,86.78068049497365,14767600
2020-03-04,87.76321411132812,87.79128521981315,85.00277183763936,86.16309667539895,6904400
2020-03-05,84.75947570800781,85.78879003855961,84.16060165608161,85.39578028057214,8851100
2020-03-06,82.68213653564453,83.64594933683406,80.36149399659482,82.68213653564453,12336400
